District,District_Key,State_Code,State,Confirmed,Active,Recovered,Deceased,Migrated_Other
Unassigned,UN_Unassigned,UN,State Unassigned,0,0,0,0,0
Nicobars,AN_Nicobars,AN,Andaman and Nicobar Islands,0,0,0,0,0
North and Middle Andaman,AN_North and Middle Andaman,AN,Andaman and Nicobar Islands,1,0,1,0,0
South Andaman,AN_South Andaman,AN,Andaman and Nicobar Islands,51,19,32,0,0
Foreign Evacuees,AP_Foreign Evacuees,AP,Andhra Pradesh,434,0,434,0,0
Anantapur,AP_Anantapur,AP,Andhra Pradesh,153792,618,152128,1046,0
Chittoor,AP_Chittoor,AP,Andhra Pradesh,219348,6107,211640,1601,0
East Godavari,AP_East Godavari,AP,Andhra Pradesh,262096,7381,253588,1127,0
Guntur,AP_Guntur,AP,Andhra Pradesh,162008,2361,158558,1089,0
Krishna,AP_Krishna,AP,Andhra Pradesh,101386,3574,96700,1112,0
Kurnool,AP_Kurnool,AP,Andhra Pradesh,121804,820,120168,816,0
Other State,AP_Other State,AP,Andhra Pradesh,2461,0,2461,0,0
Prakasam,AP_Prakasam,AP,Andhra Pradesh,120918,4690,115317,911,0
S.P.S. Nellore,AP_S.P.S. Nellore,AP,Andhra Pradesh,127098,3315,122876,907,0
Srikakulam,AP_Srikakulam,AP,Andhra Pradesh,118384,2513,115144,727,0
Visakhapatnam,AP_Visakhapatnam,AP,Andhra Pradesh,148466,1776,145639,1051,0
Vizianagaram,AP_Vizianagaram,AP,Andhra Pradesh,80096,691,78751,654,0
West Godavari,AP_West Godavari,AP,Andhra Pradesh,161202,4609,155568,1025,0
Y.S.R. Kadapa,AP_Y.S.R. Kadapa,AP,Andhra Pradesh,106223,1619,103999,605,0
Anjaw,AR_Anjaw,AR,Arunachal Pradesh,671,71,600,0,0
Changlang,AR_Changlang,AR,Arunachal Pradesh,3007,166,2829,12,0
East Kameng,AR_East Kameng,AR,Arunachal Pradesh,810,71,739,0,0
East Siang,AR_East Siang,AR,Arunachal Pradesh,2037,165,1859,13,0
Kamle,AR_Kamle,AR,Arunachal Pradesh,182,20,162,0,0
Kra Daadi,AR_Kra Daadi,AR,Arunachal Pradesh,202,34,168,0,0
Kurung Kumey,AR_Kurung Kumey,AR,Arunachal Pradesh,417,161,256,0,0
Lepa Rada,AR_Lepa Rada,AR,Arunachal Pradesh,491,35,455,1,0
Lohit,AR_Lohit,AR,Arunachal Pradesh,1623,170,1438,15,0
Longding,AR_Longding,AR,Arunachal Pradesh,463,55,408,0,0
Lower Dibang Valley,AR_Lower Dibang Valley,AR,Arunachal Pradesh,1678,68,1603,7,0
Lower Siang,AR_Lower Siang,AR,Arunachal Pradesh,502,30,466,6,0
Lower Subansiri,AR_Lower Subansiri,AR,Arunachal Pradesh,1510,119,1385,6,0
Namsai,AR_Namsai,AR,Arunachal Pradesh,1537,105,1422,10,0
Pakke Kessang,AR_Pakke Kessang,AR,Arunachal Pradesh,280,43,237,0,0
Papum Pare,AR_Papum Pare,AR,Arunachal Pradesh,11887,692,11132,63,0
Shi Yomi,AR_Shi Yomi,AR,Arunachal Pradesh,134,3,131,0,0
Siang,AR_Siang,AR,Arunachal Pradesh,197,19,176,2,0
Tawang,AR_Tawang,AR,Arunachal Pradesh,1626,72,1541,13,0
Tirap,AR_Tirap,AR,Arunachal Pradesh,779,36,740,3,0
Upper Dibang Valley,AR_Upper Dibang Valley,AR,Arunachal Pradesh,222,27,194,1,0
Upper Siang,AR_Upper Siang,AR,Arunachal Pradesh,668,37,631,0,0
Upper Subansiri,AR_Upper Subansiri,AR,Arunachal Pradesh,1226,177,1046,3,0
West Kameng,AR_West Kameng,AR,Arunachal Pradesh,2194,259,1926,9,0
West Siang,AR_West Siang,AR,Arunachal Pradesh,1228,52,1172,4,0
Airport Quarantine,AS_Airport Quarantine,AS,Assam,13,0,13,0,0
Baksa,AS_Baksa,AS,Assam,4551,4064,447,40,0
Barpeta,AS_Barpeta,AS,Assam,9252,8110,1024,118,0
Biswanath,AS_Biswanath,AS,Assam,5874,5466,379,29,0
Bongaigaon,AS_Bongaigaon,AS,Assam,5095,4205,834,56,0
Cachar,AS_Cachar,AS,Assam,21969,20308,1498,163,0
Charaideo,AS_Charaideo,AS,Assam,2358,2225,105,28,0
Chirang,AS_Chirang,AS,Assam,1897,1656,219,22,0
Darrang,AS_Darrang,AS,Assam,8901,7091,1730,80,0
Dhemaji,AS_Dhemaji,AS,Assam,5475,5005,440,30,0
Dhubri,AS_Dhubri,AS,Assam,7278,6024,1215,39,0
Dibrugarh,AS_Dibrugarh,AS,Assam,29320,26602,2409,309,0
Dima Hasao,AS_Dima Hasao,AS,Assam,2520,2314,199,7,0
Goalpara,AS_Goalpara,AS,Assam,8874,38,568,65,0
Golaghat,AS_Golaghat,AS,Assam,14984,13200,1656,128,0
Hailakandi,AS_Hailakandi,AS,Assam,5730,4587,1116,27,0
Hojai,AS_Hojai,AS,Assam,6109,4871,1160,78,0
Jorhat,AS_Jorhat,AS,Assam,18752,16822,1752,178,0
Kamrup,AS_Kamrup,AS,Assam,28355,26070,2074,211,0
Kamrup Metropolitan,AS_Kamrup Metropolitan,AS,Assam,94212,78109,15370,733,0
Karbi Anglong,AS_Karbi Anglong,AS,Assam,5466,4844,552,70,0
Karimganj,AS_Karimganj,AS,Assam,6720,5698,955,67,0
Kokrajhar,AS_Kokrajhar,AS,Assam,4240,3844,353,43,0
Lakhimpur,AS_Lakhimpur,AS,Assam,9256,8059,1135,62,0
Majuli,AS_Majuli,AS,Assam,1052,965,80,7,0
Morigaon,AS_Morigaon,AS,Assam,10545,9945,557,43,0
Nagaon,AS_Nagaon,AS,Assam,20487,17828,2506,153,0
Nalbari,AS_Nalbari,AS,Assam,7484,6577,828,79,0
Other State,AS_Other State,AS,Assam,153,152,1,0,0
