district,state,confirmed,active,recovered,deaths
Chhota Udaipur,Gujarat,3394,3,3353,38
Dahod,Gujarat,9918,3,9877,38
Dang,Gujarat,861,1,842,18
Devbhumi Dwarka,Gujarat,4150,20,4049,81
Gandhinagar,Gujarat,20703,290,20208,205
Gir Somnath,Gujarat,8514,148,8299,67
Jamnagar,Gujarat,34886,54,34355,477
Junagadh,Gujarat,20401,96,20035,270
Kheda,Gujarat,10406,16,10342,48
Kutch,Gujarat,12568,18,12405,145
Mahisagar,Gujarat,8189,13,8104,72
Mehsana,Gujarat,24390,62,24151,177
Morbi,Gujarat,6494,1,6406,87
Narmada,Gujarat,5941,5,5921,15
Navsari,Gujarat,7117,24,7069,24
Panchmahal,Gujarat,11759,9,11680,70
Patan,Gujarat,11621,2,11490,129
Porbandar,Gujarat,3463,13,3431,19
Rajkot,Gujarat,57817,81,57013,723
Sabarkantha,Gujarat,9299,16,9126,157
Surat,Gujarat,143175,725,140500,1950
Surendranagar,Gujarat,8108,6,7966,136
Tapi,Gujarat,4429,3,4404,22
Vadodara,Gujarat,77674,135,76752,787
Valsad,Gujarat,6213,55,6109,49
Bagalkote,Karnataka,34974,414,34246,314
Ballari,Karnataka,96992,708,94680,1604
Belagavi,Karnataka,75706,1642,73287,777
Bengaluru Rural,Karnataka,59552,1497,57247,808
Bengaluru Urban,Karnataka,1212746,52445,1144685,15615
Bidar,Karnataka,24172,35,23741,392
Chamarajanagara,Karnataka,31160,565,30131,453
Chikkaballapura,Karnataka,43127,781,41961,384
Chikkamagaluru,Karnataka,45541,1730,43468,343
Chitradurga,Karnataka,35101,861,34061,179
Dakshina Kannada,Karnataka,92513,5038,86295,1177
Davanagere,Karnataka,49498,1466,47491,541
Dharwad,Karnataka,59924,561,58162,1200
Gadag,Karnataka,25796,225,25269,302
Hassan,Karnataka,101560,3546,96909,1103
Haveri,Karnataka,21642,221,20829,592
Kalaburagi,Karnataka,61303,253,60240,810
Kodagu,Karnataka,30237,1674,28296,267
Kolar,Karnataka,43978,833,42671,474
Koppal,Karnataka,34862,401,33955,506
Mandya,Karnataka,70108,1174,68387,547
Mysuru,Karnataka,166207,4285,159759,2163
Other State,Karnataka,36,0,33,3
Raichur,Karnataka,39773,145,39306,322
Ramanagara,Karnataka,23640,186,23160,294
Shivamogga,Karnataka,63925,1633,61305,987
Tumakuru,Karnataka,114818,1610,112188,1020
Udupi,Karnataka,66289,987,64910,392
Uttara Kannada,Karnataka,51851,788,50381,682
Vijayapura,Karnataka,35978,183,35323,472
Yadgir,Karnataka,27419,110,27103,206
